127.0.0.1 - - [10/Jan/2024:15:37:17 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:17 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:37:17 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:37:21 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:21 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:37:21 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:37:28 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:28 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:37:28 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:37:35 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:37:58 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:37:58 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
